Source,Target,Weight,type
0,53,0.20745,doc
0,132,0.32235,doc
0,197,0.23716,doc
3,276,0.21184,doc
3,339,0.21128,doc
3,437,0.20205,doc
3,939,0.22392,doc
3,1114,0.24423,doc
4,6,0.28791,doc
4,22,0.28229,doc
4,32,0.38833,doc
4,135,0.34563,doc
4,318,0.54453,doc
4,344,0.42256,doc
4,441,0.35378,doc
4,444,0.43474,doc
4,500,0.205,doc
4,904,0.20683,doc
4,932,0.53234,doc
6,22,0.3413,doc
6,32,0.22069,doc
6,135,0.23617,doc
6,318,0.31669,doc
6,344,0.25043,doc
6,441,0.26716,doc
6,444,0.29836,doc
6,500,0.36118,doc
6,932,0.30279,doc
7,51,0.24383,doc
7,157,0.4606,doc
8,183,0.2544,doc
8,429,0.24473,doc
8,598,0.46885,doc
8,860,0.2674,doc
8,905,0.52695,doc
8,1153,0.24072,doc
9,554,0.20785,doc
10,316,0.40929,doc
10,704,0.55055,doc
10,869,0.40875,doc
10,943,0.48365,doc
10,1159,0.35902,doc
11,143,0.48454,doc
11,182,0.53592,doc
11,352,0.45552,doc
12,44,0.65445,doc
12,913,0.41928,doc
12,1029,0.72824,doc
13,34,0.20528,doc
13,35,0.21805,doc
13,393,0.22622,doc
13,394,0.21931,doc
13,816,0.26713,doc
13,850,0.25005,doc
14,15,0.26239,doc
14,52,0.31028,doc
14,96,0.21646,doc
14,374,0.25366,doc
14,519,0.20674,doc
14,523,0.22367,doc
14,546,0.20636,doc
15,52,0.20689,doc
15,1096,0.30343,doc
17,75,0.20219,doc
17,216,0.21093,doc
17,279,0.28078,doc
17,330,0.33255,doc
17,653,0.23432,doc
17,733,0.20986,doc
18,455,0.21896,doc
18,820,0.21141,doc
22,32,0.2227,doc
22,135,0.37177,doc
22,318,0.31263,doc
22,344,0.38597,doc
22,427,0.25913,doc
22,441,0.33119,doc
22,444,0.4405,doc
22,500,0.36335,doc
22,874,0.25939,doc
22,904,0.23311,doc
22,932,0.3518,doc
24,377,0.21013,doc
24,708,0.30066,doc
26,634,0.2322,doc
26,966,0.26177,doc
27,139,0.21874,doc
27,324,0.21008,doc
29,76,0.20575,doc
29,152,0.24221,doc
29,813,0.30592,doc
31,242,0.31198,doc
31,526,0.24102,doc
31,887,0.30656,doc
31,1097,0.49311,doc
31,1143,0.23614,doc
32,135,0.22784,doc
32,344,0.2124,doc
32,444,0.20962,doc
34,35,0.37159,doc
34,63,0.21299,doc
34,70,0.2865,doc
34,102,0.20353,doc
34,122,0.3493,doc
34,123,0.2096,doc
34,257,0.27791,doc
34,259,0.39354,doc
34,305,0.30331,doc
34,306,0.47213,doc
34,393,0.32641,doc
34,394,0.32034,doc
34,407,0.24168,doc
34,408,0.31807,doc
34,447,0.21549,doc
34,816,0.35085,doc
34,832,0.23229,doc
34,850,0.40142,doc
34,958,0.2171,doc
35,70,0.47514,doc
35,257,0.26084,doc
35,259,0.21663,doc
35,306,0.34047,doc
35,393,0.55021,doc
35,394,0.59928,doc
35,408,0.22129,doc
35,816,0.63594,doc
35,850,0.39034,doc
35,1126,0.36796,doc
36,225,0.25828,doc
36,278,0.51587,doc
36,288,0.27773,doc
36,292,0.43746,doc
36,305,0.30498,doc
36,415,0.43231,doc
36,434,0.22031,doc
36,476,0.33934,doc
36,498,0.29469,doc
36,1006,0.29658,doc
37,113,0.22367,doc
37,261,0.20052,doc
37,305,0.22007,doc
37,329,0.24347,doc
37,407,0.2036,doc
37,447,0.22318,doc
37,682,0.21147,doc
37,697,0.23577,doc
37,1080,0.22497,doc
37,1130,0.2464,doc
38,46,0.21523,doc
38,147,0.22479,doc
38,305,0.20629,doc
38,390,0.28688,doc
38,643,0.25152,doc
38,764,0.21938,doc
38,1021,0.27621,doc
39,46,0.21279,doc
39,305,0.20841,doc
40,311,0.98561,doc
41,197,0.2462,doc
41,388,0.50633,doc
41,448,0.20333,doc
41,692,0.20166,doc
42,87,0.24275,doc
42,160,0.24781,doc
42,462,0.20039,doc
42,561,0.36829,doc
44,46,0.2397,doc
44,305,0.22008,doc
44,913,0.43708,doc
44,1029,0.78917,doc
45,46,0.27026,doc
45,305,0.26493,doc
45,306,0.22347,doc
45,350,0.47082,doc
45,355,0.65651,doc
45,357,0.4023,doc
45,358,0.5021,doc
45,359,0.42602,doc
45,360,0.44649,doc
45,361,0.49311,doc
45,364,0.55251,doc
45,366,0.21042,doc
45,367,0.49165,doc
45,369,0.48576,doc
45,412,0.50898,doc
45,432,0.46404,doc
45,453,0.21769,doc
45,525,0.36211,doc
45,619,0.20912,doc
45,647,0.24847,doc
45,686,0.52869,doc
45,701,0.5531,doc
45,779,0.33337,doc
45,815,0.55078,doc
45,864,0.26699,doc
45,961,0.51656,doc
46,49,0.23028,doc
46,170,0.20646,doc
46,305,0.33801,doc
46,306,0.22563,doc
46,308,0.28257,doc
46,603,0.24127,doc
46,867,0.21015,doc
46,1021,0.21237,doc
47,160,0.67091,doc
47,164,0.21002,doc
47,252,0.46271,doc
47,253,0.2988,doc
47,286,0.83025,doc
47,531,0.2478,doc
48,750,0.2527,doc
49,100,0.25051,doc
49,171,0.39457,doc
49,214,0.20218,doc
49,305,0.20654,doc
49,313,0.62886,doc
49,381,0.20353,doc
50,310,0.25318,doc
51,78,0.33969,doc
51,88,0.24836,doc
51,157,0.29911,doc
51,249,0.41165,doc
51,385,0.35416,doc
52,96,0.27421,doc
52,127,0.21796,doc
52,187,0.20769,doc
52,215,0.20796,doc
52,374,0.23257,doc
52,475,0.30939,doc
52,487,0.21635,doc
52,519,0.28672,doc
52,546,0.24664,doc
52,600,0.21515,doc
52,601,0.21699,doc
53,195,0.20901,doc
54,273,0.20587,doc
54,1168,0.21906,doc
55,151,0.25507,doc
55,399,0.34192,doc
55,472,0.24188,doc
55,675,0.23429,doc
55,756,0.21402,doc
55,1108,0.21112,doc
57,93,0.39722,doc
57,219,0.20439,doc
57,242,0.21524,doc
57,257,0.33691,doc
57,265,0.21344,doc
57,536,0.21611,doc
57,627,0.20439,doc
57,683,0.30487,doc
57,700,0.381,doc
57,887,0.21024,doc
57,1140,0.25005,doc
58,403,0.21391,doc
59,136,0.28428,doc
59,405,0.22116,doc
59,757,0.21295,doc
59,985,0.25749,doc
59,1024,0.2334,doc
62,203,0.23193,doc
62,222,0.21177,doc
62,363,0.28772,doc
62,561,0.27898,doc
62,759,0.22364,doc
62,798,0.23435,doc
62,1107,0.25006,doc
62,1131,0.21902,doc
63,259,0.21832,doc
64,65,0.23578,doc
64,66,0.28353,doc
64,71,0.25382,doc
65,66,0.27465,doc
65,68,0.25256,doc
65,69,0.20967,doc
65,71,0.24676,doc
65,72,0.20681,doc
65,91,0.21694,doc
65,521,0.22369,doc
66,68,0.20724,doc
66,69,0.23577,doc
66,71,0.26291,doc
66,72,0.22062,doc
66,91,0.2583,doc
66,95,0.21133,doc
66,112,0.25871,doc
66,403,0.23351,doc
66,486,0.22222,doc
66,521,0.23315,doc
66,705,0.22406,doc
66,817,0.25234,doc
68,94,0.46097,doc
68,125,0.25922,doc
68,131,0.36202,doc
68,186,0.48443,doc
68,199,0.5203,doc
68,258,0.36255,doc
68,419,0.27775,doc
68,463,0.48558,doc
68,626,0.39466,doc
68,881,0.25388,doc
68,1198,0.24347,doc
69,71,0.22583,doc
69,764,0.21157,doc
70,393,0.59075,doc
70,394,0.52989,doc
70,816,0.56454,doc
70,850,0.28636,doc
70,1126,0.32012,doc
71,91,0.25243,doc
71,521,0.20739,doc
72,142,0.24759,doc
72,175,0.23835,doc
72,483,0.49145,doc
75,91,0.22594,doc
75,107,0.28312,doc
75,170,0.2641,doc
75,347,0.23916,doc
75,603,0.23836,doc
75,608,0.21865,doc
75,653,0.20775,doc
75,677,0.22147,doc
75,808,0.20754,doc
75,970,0.32422,doc
75,1090,0.25848,doc
76,152,0.30868,doc
76,389,0.21132,doc
76,397,0.22678,doc
76,424,0.30544,doc
76,739,0.30512,doc
76,751,0.23871,doc
76,942,0.30569,doc
76,969,0.34736,doc
76,1023,0.25678,doc
76,1125,0.4983,doc
76,1128,0.25317,doc
78,88,0.28826,doc
78,157,0.28451,doc
78,249,0.33398,doc
78,385,0.44309,doc
79,755,0.31826,doc
80,161,0.23369,doc
80,285,0.23689,doc
80,290,0.22156,doc
81,156,0.39183,doc
81,159,0.37926,doc
81,163,0.39239,doc
81,179,0.24445,doc
81,205,0.26215,doc
81,213,0.28238,doc
81,246,0.31632,doc
81,248,0.55799,doc
81,253,0.27657,doc
81,276,0.23117,doc
81,282,0.46457,doc
81,326,0.2584,doc
81,341,0.34905,doc
81,382,0.58267,doc
81,437,0.23361,doc
81,438,0.35319,doc
81,451,0.35703,doc
81,622,0.57939,doc
81,628,0.34102,doc
81,800,0.20398,doc
81,829,0.20727,doc
81,964,0.41067,doc
81,1042,0.21453,doc
81,1114,0.24189,doc
82,116,0.8216,doc
82,126,0.95509,doc
82,223,0.92672,doc
82,224,0.889,doc
82,664,0.77996,doc
84,197,0.20043,doc
87,160,0.26767,doc
87,242,0.29324,doc
87,252,0.37591,doc
87,264,0.25159,doc
